J, Jp,  transition energy (au), line strength (au), the level inverse lifetime (au), transition energy (nm) ,linewidth (Hz)
9.0,9.0,0.17077366,3.311e-5,1.368e-12,267.0,9001.0
9.0,8.0,0.17099875,9.315e-5,2.02e-12,266.0,13290.0
9.0,10.0,0.17134639,1.76e-5,1.553e-12,266.0,10218.0
9.0,10.0,0.17176831,3.458e-7,2.33e-13,265.0,1533.0
9.0,8.0,0.17184941,1.445e-5,1.112e-12,265.0,7316.0
9.0,8.0,0.17192414,1.051e-5,8.767e-12,265.0,57681.0
9.0,9.0,0.17233785,1.5e-7,3.518e-12,264.0,23146.0
9.0,8.0,0.17351338,2.899e-7,8.452e-13,263.0,5561.0
9.0,9.0,0.17440597,0.0001521,1.513e-12,261.0,9955.0
9.0,9.0,0.17477275,0.0001105,1.1e-12,261.0,7237.0
9.0,8.0,0.17517644,7.275e-8,7.333e-13,260.0,4825.0
9.0,10.0,0.17570817,0.0001124,6.179e-13,259.0,4065.0
9.0,8.0,0.1758444,1.391e-6,3.874e-12,259.0,25489.0
9.0,9.0,0.17620025,3.795e-6,5.133e-12,259.0,33772.0
9.0,8.0,0.17638114,1.773e-6,1.406e-12,258.0,9251.0
9.0,8.0,0.17853901,2.952e-7,1.719e-12,255.0,11310.0
9.0,8.0,0.1787158,4.994e-6,1.702e-12,255.0,11198.0
9.0,9.0,0.17904887,7.982e-6,5.697e-12,254.0,37483.0
9.0,9.0,0.17932042,9.068e-6,1.858e-12,254.0,12224.0
9.0,10.0,0.17985716,3.557e-5,5.453e-12,253.0,35877.0
9.0,10.0,0.18007814,5.68e-5,4.049e-12,253.0,26640.0
9.0,8.0,0.18030687,2.004e-6,8.842e-13,253.0,5817.0
9.0,9.0,0.18062718,7.903e-6,2.641e-12,252.0,17376.0
9.0,9.0,0.18074747,3.102e-6,2.175e-12,252.0,14310.0
9.0,8.0,0.18123135,1.311e-6,8.778e-13,251.0,5775.0
9.0,8.0,0.18173391,2.337e-7,2.882e-12,251.0,18962.0
9.0,9.0,0.18175988,3.989e-5,3.167e-12,251.0,20837.0
9.0,9.0,0.18189839,4.257e-5,1.915e-12,250.0,12600.0
9.0,10.0,0.18235585,1.507e-5,3.265e-12,250.0,21482.0
9.0,8.0,0.18268482,1.493e-6,2.373e-12,249.0,15613.0
9.0,8.0,0.18298371,5.195e-6,2.283e-12,249.0,15021.0
9.0,9.0,0.18472651,1.062e-10,1.271e-11,247.0,83624.0
9.0,8.0,0.18527053,9.654e-7,4.786e-12,246.0,31489.0
9.0,8.0,0.18605468,6.112e-8,2.146e-12,245.0,14119.0
9.0,8.0,0.18633671,6.889e-7,7.026e-12,244.0,46227.0
9.0,8.0,0.18726575,1.086e-6,1.9e-13,243.0,1250.0
9.0,9.0,0.18983005,3.138e-10,7.533e-14,240.0,496.0
9.0,8.0,0.19089577,2.432e-8,1.004e-11,239.0,66057.0
9.0,8.0,0.19155416,2.141e-10,5.678e-12,238.0,37358.0
9.0,10.0,0.19193735,1.18e-6,8.529e-13,237.0,5612.0
9.0,10.0,0.19243171,2.791e-7,2.236e-12,237.0,14712.0
9.0,8.0,0.19265634,1.468e-5,2.312e-12,236.0,15212.0
9.0,10.0,0.19303087,1.852e-6,9.097e-13,236.0,5985.0
9.0,9.0,0.19336075,1.011e-5,3.823e-12,236.0,25153.0
9.0,8.0,0.19392528,8.149e-7,5.539e-12,235.0,36443.0
9.0,9.0,0.19429844,6.67e-6,1.814e-12,234.0,11935.0
9.0,9.0,0.19582937,8.573e-6,1.729e-12,233.0,11376.0
9.0,8.0,0.19628545,1.287e-5,9.872e-13,232.0,6495.0
9.0,8.0,0.19783962,2.095e-7,7.17e-11,230.0,471742.0
9.0,8.0,0.19900239,5.554e-9,1.665e-12,229.0,10955.0
9.0,9.0,0.20136439,8.811e-7,0.0,226.0,0.0
9.0,8.0,0.20196127,1.691e-9,0.0,226.0,0.0
